report_id,report_date,carat_weight,color_grade,clarity_grade,polish_grade,proportions_grade,symmetry_grade,cut_grade,fluorescence_grade,stone_origin,expert_id,evaluation_time_min,report_notes_length,report_sentiment,price,is_investment_grade,is_report_rejected,is_sold,days_on_market,sale_date
DR-00001,2024-04-08,0.65,4,3,4,4,2,4,2,1,5,16,32,1,4598.0,0,0,1,66,2024-06-13
DR-00002,2025-02-23,0.57,5,4,2,4,1,4,1,1,4,64,60,0,2786.0,0,0,0,259,
DR-00003,2023-06-14,1.03,5,2,4,3,2,4,4,1,4,37,27,1,10210.0,0,0,1,56,2023-08-09
DR-00004,2023-03-09,0.8,4,7,1,3,3,3,2,1,2,78,9,0,2958.0,0,0,1,68,2023-05-16
DR-00005,2024-10-17,1.0,7,5,4,1,2,4,1,0,3,68,23,1,4166.0,0,0,1,105,2025-01-30
DR-00006,2025-03-04,0.8,4,5,2,2,3,3,4,1,4,34,16,0,5490.0,0,0,0,250,
DR-00007,2023-07-22,0.81,5,5,1,1,3,3,3,1,4,54,89,0,5032.0,0,0,1,40,2023-08-31
DR-00008,2024-07-25,0.5,7,5,1,2,4,4,2,3,3,101,5,0,1322.0,0,0,1,60,2024-09-23
DR-00009,2024-09-03,0.44,4,4,2,1,4,4,3,1,1,65,64,-1,2019.0,0,0,1,78,2024-11-20
DR-00010,2023-11-06,1.07,8,2,2,3,2,3,1,1,2,90,52,1,9276.0,0,0,0,734,
DR-00011,2023-11-02,1.16,5,1,3,2,3,3,2,1,1,58,72,-1,18043.0,0,0,1,33,2023-12-05
DR-00012,2023-09-09,0.37,4,6,1,1,2,2,1,1,4,44,36,0,1204.0,0,0,1,6,2023-09-15
DR-00013,2023-12-16,0.72,5,8,3,1,2,3,4,3,1,18,32,0,1702.0,0,1,1,50,2024-02-04
DR-00014,2025-05-11,1.05,4,3,3,2,3,3,2,1,4,24,44,1,13310.0,0,0,1,80,2025-07-30
